"category","category_ko","order","emoji","unicode","name_ko","keywords_ko","emoji_version"
"smileys_people","사람과 몸","1","😀","1F600","활짝 웃는 얼굴","미소, 얼굴, 웃음, 스마일, 활짝 웃는 얼굴","1"
"smileys_people","사람과 몸","2","😃","1F603","눈을 크게 뜨고 웃는 얼굴","미소, 얼굴, 스마일, 입 벌리고 웃는 얼굴, 눈을 크게 뜨고 웃는 얼굴","0.6"
"smileys_people","사람과 몸","3","😄","1F604","미소 짓는 눈으로 활짝 웃는 얼굴","미소, 얼굴, 스마일, 입 벌리고 웃는 눈웃음 얼굴, 미소 짓는 눈으로 활짝 웃는 얼굴","0.6"
"smileys_people","사람과 몸","4","😁","1F601","미소 짓는 눈으로 웃는 얼굴","미소, 얼굴, 눈웃음, 스마일, 미소 짓는 눈으로 웃는 얼굴","0.6"
"smileys_people","사람과 몸","5","😆","1F606","눈 감고 웃는 얼굴","얼굴, 눈 감고 미소, 눈웃음짓는 얼굴, 입 벌리고 미소, 눈 감고 웃는 얼굴","0.6"
"smileys_people","사람과 몸","6","😅","1F605","웃고 있지만 당황한 얼굴","미소, 얼굴, 스마일, 식은땀, 웃는 얼굴, 땀 흘리며 웃는 얼굴, 웃고 있지만 당황한 얼굴","0.6"
"smileys_people","사람과 몸","7","🤣","1F923","바닥을 구르며 웃는 얼굴","바닥, 웃음, 구르기, 데굴데굴, 바닥을 구르며 웃는 얼굴","3"
"smileys_people","사람과 몸","8","😂","1F602","기쁨의 눈물을 흘리는 얼굴","기쁨, 눈물, 얼굴, 스마일, 기쁨의 눈물을 흘리는 얼굴","0.6"
"smileys_people","사람과 몸","9","🙂","1F642","살짝 미소 짓는 얼굴","미소, 얼굴, 살짝 미소 짓는 얼굴","1"
"smileys_people","사람과 몸","10","🙃","1F643","거꾸로 된 얼굴","얼굴, 뒤집힘, 위아래, 거꾸로 된 얼굴","1"
"smileys_people","사람과 몸","11","🫠","1FAE0","녹아 내리는 얼굴","녹아 내리는 얼굴","14"
"smileys_people","사람과 몸","12","😉","1F609","윙크하는 얼굴","얼굴, 윙크, 윙크하는 얼굴","0.6"
"smileys_people","사람과 몸","13","😊","1F60A","미소 짓는 눈으로 살짝 웃는 얼굴","미소, 얼굴, 눈웃음, 스마일, 웃는 얼굴, 미소 짓는 눈으로 살짝 웃는 얼굴","0.6"
"smileys_people","사람과 몸","14","😇","1F607","후광이 비치는 웃는 얼굴","미소, 얼굴, 스마일, 웃는 얼굴, 후광이 비치는 웃는 얼굴","1"
"smileys_people","사람과 몸","15","🥰","1F970","하트와 함께 웃는 얼굴","반한, 사랑하는, 사랑에 빠진, 하트와 함께 웃는 얼굴","11"
"smileys_people","사람과 몸","16","😍","1F60D","하트 뿅뿅 얼굴","사랑, 얼굴, 하트, 하트 눈 얼굴, 하트 뿅뿅 얼굴","0.6"
"smileys_people","사람과 몸","17","🤩","1F929","별 모양의 눈","별 눈, 반한 얼굴, 별 모양의 눈","5"
"smileys_people","사람과 몸","18","😘","1F618","키스를 날리는 얼굴","뽀뽀, 얼굴, 키스, 키스를 보내는 얼굴, 키스를 날리는 얼굴","0.6"
"smileys_people","사람과 몸","19","😗","1F617","입술을 내민 얼굴","뽀뽀, 얼굴, 키스, 키스하는 얼굴, 입술을 내민 얼굴","1"
"smileys_people","사람과 몸","20","☺️","263A-FE0F","웃음 짓는 얼굴","미소, 웃음, 스마일, 웃는 얼굴, 웃음 짓는 얼굴","0.6"
"smileys_people","사람과 몸","21","😚","1F61A","눈을 감은 채로 키스하는 얼굴","뽀뽀, 얼굴, 키스, 눈을 감은 채로 키스하는 얼굴","0.6"
"smileys_people","사람과 몸","22","😙","1F619","미소 짓는 눈으로 키스하는 얼굴","뽀뽀, 얼굴, 키스, 웃으면서 뽀뽀하는 얼굴, 웃으면서 입술을 내민 얼굴, 미소 짓는 눈으로 키스하는 얼굴","1"
"smileys_people","사람과 몸","23","🥲","1F972","눈물 흘리며 웃는 얼굴","감사, 긍지, 눈물, 미소, 안도, 눈물 흘리며 웃는 얼굴","13"
"smileys_people","사람과 몸","24","😋","1F60B","맛있는 음식을 음미하는 얼굴","얼굴, 맛있어, 맛있어하는 얼굴, 맛있는 음식을 음미하는 얼굴","0.6"
"smileys_people","사람과 몸","25","😛","1F61B","혀를 내민 얼굴","얼굴, 메롱하는 얼굴, 혀를 내민 얼굴","1"
"smileys_people","사람과 몸","26","😜","1F61C","윙크하면서 혀를 내민 얼굴","얼굴, 윙크하면서 메롱하는 얼굴, 윙크하면서 혀를 내민 얼굴","0.6"
"smileys_people","사람과 몸","27","🤪","1F92A","익살스러운 얼굴","괴짜, 괴짜 얼굴, 엉뚱한 얼굴, 익살스러운 얼굴","5"
"smileys_people","사람과 몸","28","😝","1F61D","눈을 감고 혀를 내민 얼굴","얼굴, 눈을 감고 메롱하는 얼굴, 눈을 감고 혀를 내민 얼굴","0.6"
"smileys_people","사람과 몸","29","🤑","1F911","돈 모양의 입이 있는 얼굴","돈, 입, 얼굴, 욕심, 탐욕, 돈 모양의 입이 있는 얼굴","1"
"smileys_people","사람과 몸","30","🤗","1F917","포옹하고 있는 얼굴","얼굴, 포옹, 환영, 반가워하는 얼굴, 포옹하고 있는 얼굴","1"
"smileys_people","사람과 몸","31","🤭","1F92D","손으로 입을 가린 얼굴","앗, 손으로 입을 가린 얼굴","5"
