"group","group_ko","order","emoji","unicode","name_ko","keywords_ko","source_category"
"faith_reflection","신앙과 묵상","1","🙏","1F64F","두 손 모아 기도하는 사람","기도, 합장, 기도하는 사람, 두 손 모아 기도하는 사람","smileys_people"
"faith_reflection","신앙과 묵상","2","📖","1F4D6","펼쳐진 책","책, 펼쳐진 책","objects"
"faith_reflection","신앙과 묵상","3","⛪","26EA","크리스찬","교회, 건물, 빌딩, 크리스찬","travel_places"
"faith_reflection","신앙과 묵상","4","✝️","271D-FE0F","라틴 십자가","종교, 기독교, 십자가, 라틴 십자가","symbols"
"faith_reflection","신앙과 묵상","5","🕊️","1F54A-FE0F","비둘기","새, 평화, 비둘기","animals_nature"
"faith_reflection","신앙과 묵상","6","🕯️","1F56F-FE0F","캔들","양초, 캔들","objects"
"faith_reflection","신앙과 묵상","7","📝","1F4DD","메모지","메모, 메모장, 메모지","objects"
"faith_reflection","신앙과 묵상","8","🤍","1F90D","흰색 하트","하트, 흰색, 흰색 하트","smileys_people"
"faith_reflection","신앙과 묵상","9","💛","1F49B","노란색 하트","사랑, 하트, 노란 하트, 노란색 하트","smileys_people"
"faith_reflection","신앙과 묵상","10","💖","1F496","기쁨으로 가득찬 마음","사랑, 설렘, 두근거림, 빛나는 하트, 사랑의 기쁨, 기쁨으로 가득찬 마음","smileys_people"
"faith_reflection","신앙과 묵상","11","📿","1F4FF","예배","묵주, 기도, 예배","objects"
"faith_reflection","신앙과 묵상","12","🤲","1F932","내민 두 손","기도, 내민 두 손","smileys_people"
"faith_reflection","신앙과 묵상","13","🫰","1FAF0","엄지와 중지를 교차한 손","돈, 딱딱, 사랑, 하트, 너무 비싼, 엄지와 중지를 교차한 손","smileys_people"
"faith_reflection","신앙과 묵상","14","🫶","1FAF6","손 하트","사랑, 손 하트","smileys_people"
"faith_reflection","신앙과 묵상","15","⛑️","26D1-FE0F","흰 십자가가 있는 헬멧","도움, 모자, 헬멧, 안전요원, 흰 십자가가 있는 헬멧","objects"
"faith_reflection","신앙과 묵상","16","☦️","2626-FE0F","전통적인 십자가","종교, 기독교, 십자가, 전통적인 십자가","symbols"
"faith_reflection","신앙과 묵상","17","🛐","1F6D0","예배공간","기도, 사원, 예배, 예배공간","symbols"
"faith_reflection","신앙과 묵상","18","☮️","262E-FE0F","평화 기호","평화, 평화 기호","symbols"
"faith_reflection","신앙과 묵상","19","🩵","1FA75","밝은 파란색 하트","푸른, 하트, 청록색, 밝은 파란색, 밝은 파란색 하트","smileys_people"
"faith_reflection","신앙과 묵상","20","🥰","1F970","하트와 함께 웃는 얼굴","반한, 사랑하는, 사랑에 빠진, 하트와 함께 웃는 얼굴","smileys_people"
"faith_reflection","신앙과 묵상","21","😍","1F60D","하트 뿅뿅 얼굴","사랑, 얼굴, 하트, 하트 눈 얼굴, 하트 뿅뿅 얼굴","smileys_people"
"faith_reflection","신앙과 묵상","22","😻","1F63B","하트 눈 고양이 얼굴","고양이, 사랑에 빠진 고양이, 하트 눈 고양이 얼굴","smileys_people"
"faith_reflection","신앙과 묵상","23","💌","1F48C","연애 편지","러브레터, 사랑 고백, 연애 편지","smileys_people"
"faith_reflection","신앙과 묵상","24","💕","1F495","하트 두 개","사랑, 연인, 하트 두 개","smileys_people"
"faith_reflection","신앙과 묵상","25","🩷","1FA77","분홍색 하트","하트, 귀여움, 분홍색, 사랑해, 좋아해, 분홍색 하트","smileys_people"
"faith_reflection","신앙과 묵상","26","💑","1F491","연애 중","연인, 사랑, 연애, 연애 중","smileys_people"
"faith_reflection","신앙과 묵상","27","👼","1F47C","아기 천사","천사, 아기 천사","smileys_people"
"faith_reflection","신앙과 묵상","28","✨","2728","반짝반짝","블링블링, 반짝거림, 반짝반짝","activities"
"faith_reflection","신앙과 묵상","29","📔","1F4D4","표지가 있는 노트","공책, 노트, 표지가 있는 노트","objects"
"faith_reflection","신앙과 묵상","30","📕","1F4D5","펼치지 않은 책","책, 도서, 펼치지 않은 책","objects"
"work_study","업무와 배움","1","💼","1F4BC","서류 가방","가방, 서류 가방","objects"
"work_study","업무와 배움","2","💻","1F4BB","노트북","pc, 랩탑, 노트북","objects"
"work_study","업무와 배움","3","📚","1F4DA","책 여러 권","책, 책 여러 권","objects"
"work_study","업무와 배움","4","📓","1F4D3","노트","공책, 노트","objects"
"work_study","업무와 배움","5","✏️","270F-FE0F","필기도구","연필, 필기도구","objects"
"work_study","업무와 배움","6","📅","1F4C5","캘린더","달력, 일정, 캘린더","objects"
"work_study","업무와 배움","7","🎯","1F3AF","과녁 명중","과녁, 명중, 양궁, 화살, 과녁 명중","activities"
"work_study","업무와 배움","8","💡","1F4A1","기발한 생각","전구, 아하, 아이디어, 기발한 생각","objects"
"work_study","업무와 배움","9","📊","1F4CA","막대 그래프","그래프, 막대그래프, 막대 그래프","objects"
"work_study","업무와 배움","10","📂","1F4C2","열린 폴더","열기, 파일, 폴더, 폴더 열기, 열린 폴더","objects"
"work_study","업무와 배움","11","🛜","1F6DC","네트워크","무선, 인터넷, 컴퓨터, 네트워크","symbols"
"work_study","업무와 배움","12","⌨️","2328-FE0F","키보드","키보드","objects"
"work_study","업무와 배움","13","🖥️","1F5A5-FE0F","데스크톱 컴퓨터","컴퓨터, 데스크톱, 데스크톱 컴퓨터","objects"
"work_study","업무와 배움","14","🖱️","1F5B1-FE0F","컴퓨터 마우스","마우스, 컴퓨터, 컴퓨터 마우스","objects"
"work_study","업무와 배움","15","🖲️","1F5B2-FE0F","컴퓨터","트랙볼, 마우스, 컴퓨터","objects"
"work_study","업무와 배움","16","📗","1F4D7","초록색 책","책, 녹색 책, 초록색 책","objects"
"work_study","업무와 배움","17","📘","1F4D8","파란색 책","책, 파란 책, 파란색 책","objects"
"work_study","업무와 배움","18","📙","1F4D9","오렌지색 책","책, 주황색 책, 오렌지색 책","objects"
"work_study","업무와 배움","19","📒","1F4D2","원장","노트, 공책, 원장","objects"
"work_study","업무와 배움","20","🔖","1F516","책갈피","마크, 표시, 북마크, 책갈피","objects"
"work_study","업무와 배움","21","📆","1F4C6","뜯어진 달력","달력, 일정, 캘린더, 뜯어진 달력","objects"
"work_study","업무와 배움","22","🗓️","1F5D3-FE0F","벽걸이 달력","달력, 스프링 달력, 벽걸이 달력","objects"
"work_study","업무와 배움","23","📁","1F4C1","파일","폴더, 파일","objects"
"work_study","업무와 배움","24","🎹","1F3B9","피아노","건반, 악기, 연주, 음악, 피아노","objects"
"work_study","업무와 배움","25","🖨️","1F5A8-FE0F","인쇄기","프린터, 인쇄기","objects"
"work_study","업무와 배움","26","💽","1F4BD","미니 디스크","엠디, md, 디스크, 미니 디스크","objects"
"work_study","업무와 배움","27","💾","1F4BE","플로피 디스크","디스켓, 플로피 디스크","objects"
"work_study","업무와 배움","28","💿","1F4BF","광학 디스크","씨디, cd, dvd, 디비디, 블루레이, 광학 디스크","objects"
"work_study","업무와 배움","29","📀","1F4C0","dvd","디비디, dvd","objects"
"work_study","업무와 배움","30","✍️","270D-FE0F","글을 쓰고 있는 손","손, 연필 쥔 손, 글을 쓰고 있는 손","smileys_people"
"work_study","업무와 배움","31","📑","1F4D1","북마크 탭","마커, 포스트잇, 북마크 탭","objects"
"work_study","업무와 배움","32","🧾","1F9FE","영수증","기록, 증빙, 회계, 영수증","objects"
"work_study","업무와 배움","33","✒️","2712-FE0F","검은색 펜촉","펜, 펜촉, 검은색 펜촉","objects"
"work_study","업무와 배움","34","🖊️","1F58A-FE0F","볼펜","펜, 볼펜","objects"
"work_study","업무와 배움","35","🔓","1F513","열린 자물쇠","락, 자물쇠, 잠금풀림, 열린 자물쇠","objects"
"work_study","업무와 배움","36","🔏","1F50F","자물쇠와 펜","펜, 사생활, 자물쇠, 프라이버시, 자물쇠와 펜","objects"
"work_study","업무와 배움","37","🪚","1FA9A","목공 톱","톱, 도구, 목수, 목재, 목공 톱","objects"
"work_study","업무와 배움","38","🪟","1FA9F","맑은 공기","창문, 전망, 창틀, 투명한, 맑은 공기","objects"
"work_study","업무와 배움","39","🎒","1F392","학생 가방","가방, 학교 가방, 학생 가방","objects"
"work_study","업무와 배움","40","🏫","1F3EB","스쿨","학교, 건물, 공부, 빌딩, 스쿨","travel_places"
"work_study","업무와 배움","41","💹","1F4B9","엔화 관련 상승하는 그래프","호황, 시장 호황, 엔화 관련 상승하는 그래프","objects"
"work_study","업무와 배움","42","📈","1F4C8","상승하는 그래프","상향, 호황, 그래프, 상승하는 그래프","objects"
"work_study","업무와 배움","43","📉","1F4C9","내려가는 그래프","불황, 하향, 그래프, 내려가는 그래프","objects"
"work_study","업무와 배움","44","📣","1F4E3","메가폰","응원, 메가폰","objects"
"work_study","업무와 배움","45","🎙️","1F399-FE0F","스튜디오 마이크","마이크, 사회자 마이크, 스튜디오 마이크","objects"
"health_exercise","건강과 운동","1","🏃","1F3C3","뛰는 사람","뛰기, 런닝, 달리기, 마라톤, 뛰는 사람","smileys_people"
"health_exercise","건강과 운동","2","🚶","1F6B6","걷는 사람","보행자, 보행자용, 걷는 사람","smileys_people"
"health_exercise","건강과 운동","3","🧘","1F9D8","가부좌한 사람","요가, 가부좌, 가부좌한 사람","smileys_people"
"health_exercise","건강과 운동","4","🏋️","1F3CB-FE0F","역도 선수","역도, 역도선수, 역도 선수","smileys_people"
"health_exercise","건강과 운동","5","🚴","1F6B4","자전거 타는 사람","자전거 주행, 자전거 타는 사람","smileys_people"
"health_exercise","건강과 운동","6","🏊","1F3CA","수영하는 사람","운동, 수영장, 스포츠, 수영 선수, 수영하는 사람","smileys_people"
"health_exercise","건강과 운동","7","🥾","1F97E","하이킹","등산, 부츠, 캠핑, 등산화, 하이킹","objects"
"health_exercise","건강과 운동","8","💪","1F4AA","이두박근","힘, 알통, 강함, 근육, 이두박근","smileys_people"
"health_exercise","건강과 운동","9","😴","1F634","자고 있는 얼굴","얼굴, 졸고 있는 얼굴, 자고 있는 얼굴","smileys_people"
"health_exercise","건강과 운동","10","🛌","1F6CC","침대에 누운 사람","침대, 호텔, 침대에 누운 사람","smileys_people"
"health_exercise","건강과 운동","11","🎽","1F3BD","운동복 상의","운동복, 러닝 셔츠, 민소매 상의, 운동복 상의","activities"
"health_exercise","건강과 운동","12","👟","1F45F","스니커즈","신발, 운동화, 스니커즈","objects"
"health_exercise","건강과 운동","13","🎾","1F3BE","테니스 공","운동, 테니스, 스포츠, 테니스 공","activities"
"health_exercise","건강과 운동","14","🏀","1F3C0","스포츠","농구, 운동, 농구공, 스포츠","activities"
"health_exercise","건강과 운동","15","🥽","1F97D","안구 보호 장비","고글, 수영, 용접, 물안경, 수영 안경, 안구 보호 장비","objects"
"health_exercise","건강과 운동","16","💨","1F4A8","달려나감","슝, 후다닥, 달려나감","smileys_people"
"health_exercise","건강과 운동","17","🧟","1F9DF","워킹 데드","좀비, 언데드, 워킹 데드","smileys_people"
"health_exercise","건강과 운동","18","🩱","1FA71","원피스 수영복","수영복, 원피스 수영복","objects"
"health_exercise","건강과 운동","19","🩲","1FA72","삼각 수영복","수영복, 언더웨어, 삼각 수영복","objects"
"health_exercise","건강과 운동","20","🩺","1FA7A","심박수","의사, 청진기, 심박수","objects"
"health_exercise","건강과 운동","21","🏓","1F3D3","탁구채","탁구, 탁구공, 탁구채","activities"
"health_exercise","건강과 운동","22","⚽","26BD","축구공","공, 축구, 축구공","activities"
"health_exercise","건강과 운동","23","⚾","26BE","야구공","공, 야구, 야구공","activities"
"health_exercise","건강과 운동","24","🪜","1FA9C","사다리","계단, 단계, 상승, 사다리","objects"
"health_exercise","건강과 운동","25","🏈","1F3C8","미식축구공","운동, 스포츠, 미식축구, 미식축구공","activities"
"health_exercise","건강과 운동","26","🏉","1F3C9","스포츠","럭비, 운동, 럭비공, 스포츠","activities"
"health_exercise","건강과 운동","27","🏏","1F3CF","크리켓","공, 운동, 크리켓","activities"
"health_exercise","건강과 운동","28","🏌️","1F3CC-FE0F","골프치는 사람","공, 골프, 필드, 골프치는 사람","smileys_people"
"health_exercise","건강과 운동","29","🏥","1F3E5","메디컬","병원, 건물, 빌딩, 의사, 메디컬","travel_places"
"health_exercise","건강과 운동","30","🚵","1F6B5","산악 자전거 타는 사람","산악 자전거 주행, 산악 자전거 타는 사람","smileys_people"
"health_exercise","건강과 운동","31","🧢","1F9E2","야구모자","야구모자","objects"
"health_exercise","건강과 운동","32","😷","1F637","마스크 낀 얼굴","감기, 얼굴, 황사, 마스크, 마스크 낀 얼굴","smileys_people"
"health_exercise","건강과 운동","33","👙","1F459","수영복","비키니, 수영복","objects"
"health_exercise","건강과 운동","34","🛏️","1F6CF-FE0F","호텔","침대, 호텔","objects"
"health_exercise","건강과 운동","35","💤","1F4A4","자고 있음","졸림, 수면, 쿨쿨, 자고 있음","smileys_people"
"health_exercise","건강과 운동","36","💊","1F48A","알약","약, 알약","objects"
"health_exercise","건강과 운동","37","🩻","1FA7B","엑스레이","뼈, 의료, 의사, 해골, 엑스레이","objects"
"health_exercise","건강과 운동","38","🏅","1F3C5","스포츠 메달","경기, 메달, 스포츠, 스포츠 메달","activities"
"health_exercise","건강과 운동","39","🪥","1FAA5","깨끗한","솔, 이, 칫솔, 욕실, 위생, 깨끗한","objects"
"health_exercise","건강과 운동","40","🎈","1F388","파티","풍선, 축하, 파티","activities"
"health_exercise","건강과 운동","41","🎊","1F38A","박 터트리기","기념, 축하, 박 터트리기","activities"
"health_exercise","건강과 운동","42","🩳","1FA73","수영복","반바지, 수영복","objects"
"health_exercise","건강과 운동","43","🥎","1F94E","소프트볼","공, 야구공, 소프트볼","activities"
"health_exercise","건강과 운동","44","🏐","1F3D0","배구공","배구, 배구공","activities"
"health_exercise","건강과 운동","45","🎳","1F3B3","볼링 게임","볼링, 볼링공, 볼링핀, 볼링 게임","activities"
"health_exercise","건강과 운동","46","🏑","1F3D1","하키 스틱","필드 하키, 하키 스틱","activities"
"health_exercise","건강과 운동","47","🥍","1F94D","라크로스","골, 스틱, 그물채, 라크로스","activities"
"health_exercise","건강과 운동","48","🎱","1F3B1","당구 게임","당구, 당구공, 당구 게임","activities"
